,gene_ids,new_names
17844,AT5G51850,AT5G51850
17845,AT3G09400,PLL3
17846,AT4G00390,AT4G00390
17847,AT2G37430,ZAT11
17848,AT1G36240,RPL30A
17849,AT4G34720,VHA-c3
17850,AT5G36870,CALS4
17851,AT2G44660,AT2G44660
17852,AT1G10580,AT1G10580
17853,AT4G00232,AT4G00232
17854,AT3G23490,CYN
17855,AT1G16270,AT1G16270
17856,AT4G08410,AT4G08410
17857,AT5G64790,AT5G64790
17858,AT5G15950,SAMDC2
17859,AT4G35360,AT4G35360
17860,AT2G16430,PAP10
17861,AT3G46020,AT3G46020
17862,AT4G19700,BOI
17863,AT1G80180,AT1G80180
17864,AT5G06290,2-Cys
17865,AT1G14900,HMGA
17866,AT3G25520,ATL5
17867,AT3G57990,AT3G57990
17868,ATMG00300,ORF145A
17869,AT1G13460,B'THETA
17870,AT1G48840,AT1G48840
17871,AT5G56490,GULLO4
17872,AT1G22040,AT1G22040
17873,AT5G56820,AT5G56820
17874,AT2G43060,IBH1
17875,AT1G68750,PPC4
17876,AT3G63088,RTFL14
17877,AT1G22065,AT1G22065
17878,AT5G55990,CBL2
17879,AT2G38195,AT2G38195
17880,AT4G33910,P4H9
17881,AT2G07340,PFD1
17882,AT3G20870,ZTP29
17883,AT3G03580,PCMP-H23
17884,AT3G60940,AT3G60940
17885,AT1G61795,RIC9
17886,AT1G05320,AT1G05320
17887,AT4G12890,AT4G12890
17888,AT2G19880,AT2G19880
17889,AT2G26590,RPN13
17890,AT4G05170,AT4G05170
17891,AT1G11125,AT1G11125
17892,AT5G42600,MRN1
17893,AT5G14350,AT5G14350
17894,AT3G45590,SEN1
17895,AT4G34220,AT4G34220
17896,AT1G59550,AT1G59550
17897,AT1G32650,AT1G32650
17898,AT3G49200,AT3G49200
17899,AT5G18950,AT5G18950
17900,AT1G59810,AGL50
17901,AT2G20590,RTNLB17
17902,AT4G08450,AT4G08450
17903,AT4G00342,AT4G00342
17904,AT4G00980,AT4G00980
17905,AT1G33280,BRN1
17906,AT3G46360,AT3G46360
17907,AT4G39070,BBX20
17908,AT3G22935,AT3G22935
17909,AT1G52070,JAL10
17910,AT3G06200,GK3
17911,AT2G34925,CLE42
17912,AT4G10090,ELP6
17913,AT5G07390,RBOHA
17914,AT5G06700,TBR
17915,AT1G63850,AT1G63850
17916,AT5G27640,TIF3B1
17917,AT2G32250,FRS2
17918,AT5G46090,DMP6
17919,AT2G31110,TBL40
17920,AT2G17590,AT2G17590
17921,AT1G32860,AT1G32860
17922,AT1G47389,AT1G47389
17923,AT5G04740,ACR12
