,sample1,sample2,sample3
AT2G38910,7.46705324,0.942286002,0
AT2G38920,27.73476918,10.36514602,5.864213179
AT2G38940,17.06755026,4.711430009,2.932106589
AT2G38950,1405.939453,1265.4901,1209.005284
AT2G38960,802.1748624,725.5602214,733.0266474
AT2G38970,795.774531,1022.380312,994.9615027
AT2G38995,1677.953535,1185.39579,843.4693289
AT2G39000,552.5619398,469.2584289,540.4849813
AT2G08990,1.066721891,0,0.977368863
AT2G39010,2627.336019,1431.332437,1664.459174
AT2G39020,1600.082837,1684.807371,1712.350248
AT2G39030,3.200165674,0,0
AT2G39050,317.8831237,328.8578146,273.6632817
AT2G39060,0,0,0
AT2G39080,1810.22705,1942.993736,1617.545469
AT2G39090,1018.719406,1071.379184,1286.217424
AT2G39100,360.5519993,278.9166565,353.8075285
AT2G39110,30.93493485,90.45945618,36.16264794
AT2G39120,163.2084494,191.2840584,280.5048637
AT2G09000,30.93493485,31.09543806,53.75528747
AT2G39130,960.0497023,1116.608912,1205.095808
AT2G09005,0,0,0
AT2G39140,1266.198885,1302.239255,1163.068947
AT2G39160,4.266887566,0.942286002,0
AT2G39170,858.7111226,696.3493554,784.8271971
AT2G09010,0,0,0
AT2G39175,3.200165674,1.884572004,12.70579522
AT2G39180,165.3418932,277.0320845,175.9263954
AT2G39190,2023.571428,2139.93151,1901.959808
AT2G39200,50.1359289,19.78800604,9.773688632
AT2G39210,189.8764967,354.2995367,186.6774529
AT2G39220,1025.119738,1243.817522,842.49196
AT2G39230,187.7430529,212.0143504,281.4822326
AT2G39240,17.06755026,35.80686807,23.45685272
AT2G39250,2.133443783,43.34515608,2.932106589
AT2G39260,1802.759997,1833.68856,1924.439292
AT2G39270,998.4516904,903.6522758,974.4367566
AT2G09025,225.0783191,216.7257804,177.8811331
AT2G39280,2756.409367,2705.303111,2904.740261
AT2G39290,1079.522554,1196.703222,1172.842636
AT2G39300,371.2192182,199.7646324,190.5869283
AT2G39310,0,22.61486404,2.932106589
AT2G39320,3.200165674,20.73029204,7.818950905
AT2G39330,1653.418932,3267.847854,2429.738994
AT2G39340,3065.758716,2883.395166,2606.642758
AT2G09035,0,0,0
AT2G39350,302.9490172,72.55602214,149.5374361
AT2G09040,0,2.826858006,3.909475453
AT2G39355,0,0,6.841582042
AT2G39360,188.8097748,180.9189124,160.2884936
AT2G39370,1.066721891,3.769144007,3.909475453
AT2G39375,206.9440469,224.2640684,232.6137894
AT2G39380,206.9440469,224.2640684,232.6137894
AT2G39390,5732.563445,5271.147894,6146.67278
AT2G39400,21.33443783,81.97888216,8.796319768
AT2G39410,0,6.596002013,0
AT2G39415,0,0,0
AT2G39420,176.0091121,153.5926183,97.73688632
AT2G09045,0,4.711430009,0
AT2G39430,10.66721891,11.30743202,2.932106589
AT2G39435,185.6096091,243.1097885,183.7453463
AT2G39440,453.3568039,482.4504329,463.2728411
AT2G39445,299.7488515,250.6480765,321.554356
AT2G39450,892.8462231,979.0351559,998.8709781
AT2G39460,24468.46675,24408.97659,27106.34805
AT2G39470,1019.786128,1164.665498,850.3109109
AT2G39480,1609.683334,1655.596505,1578.450714
AT2G09050,0,0,0
AT2G39490,0,0,0
AT2G39500,476.8246855,466.4315709,527.7791861
AT2G09055,20.26771594,52.7680161,73.30266474
AT2G39510,406.4210406,83.86345416,147.5826983
AT2G39518,6.400331349,0,0
AT2G39520,3.200165674,0,0
AT2G39530,0,0,0
AT2G39550,610.1649219,679.3882073,647.0181874
AT2G39560,281.6145793,333.5692447,200.3606169
AT2G39570,2467.327735,1739.459959,3975.936535
AT2G39580,2507.863167,2500.827049,2179.532565
AT2G39590,2.133443783,17.90343404,7.818950905
AT2G39610,0,0,0
AT2G39620,73.60381051,72.55602214,55.7100252
AT2G39630,862.9780102,932.8631418,927.5230511
AT2G39640,0,0,0
AT2G39650,110.9390767,84.80574017,129.9900588
AT2G39660,314.682958,248.7635045,248.2516912
AT2G39670,2768.143308,2952.182044,2844.143392
AT2G39675,566.4293244,527.680161,528.756555
AT2G39681,566.4293244,571.0253171,350.8754219
AT2G39690,54.40281646,159.2463343,40.07212339
AT2G39700,3062.55855,3228.271842,2182.464671
AT2G09060,0,0,0
AT2G09065,0,0,0
AT2G09070,1.066721891,1.884572004,0
AT2G09075,1.066721891,1.884572004,0
AT2G39705,414.9548158,348.6458207,363.5812171
AT2G39710,112.0057986,64.07544813,65.48371383
AT2G39720,1160.593418,984.6888719,1071.196274
AT2G39725,269.8806385,171.4960523,307.8711919
AT2G39730,10937.09955,19849.25463,8200.124762
AT2G39740,1161.66014,1128.85863,1086.834176
AT2G39750,1519.011973,1387.044995,1086.834176
AT2G39760,1549.946908,1569.848479,1615.590731
AT2G39770,5185.335114,4945.116938,4069.763946
AT2G39780,1788.892612,1894.93715,1768.060273
AT2G39782,0,1.884572004,1.954737726
AT2G39790,0,0,0
AT2G39795,1234.197228,1068.552326,1322.380072
AT2G39800,3559.650952,4564.433393,2773.772834
AT2G39805,810.7086375,770.7899495,753.5513935
AT2G39810,1868.896754,1963.724028,1860.910315
AT2G39820,55.46953836,40.51829808,43.00422998
AT2G39830,423.4885909,648.2927693,510.1865466
AT2G39840,944.0488739,992.2271599,928.50042
AT2G39850,122.6730175,131.9200403,30.29843476
AT2G39851,1.066721891,0,0
AT2G39855,41.60215377,34.86458207,14.66053295
AT2G39870,5592.822877,6636.520311,6225.839658
AT2G39880,214.4111002,238.3983585,268.7764374
AT2G39885,0,0,0
AT2G09085,1.066721891,0,0
AT2G39890,503.4927328,600.2361832,514.096022
AT2G39900,2360.655546,2316.138993,2898.876048
AT2G39910,594.1640935,587.9864652,605.9686952
AT2G39920,355.2183899,225.2063544,276.5953883
AT2G39930,1722.755855,1815.785126,1661.527067
AT2G09090,1056.054673,966.7854379,1077.060487
AT2G39940,1291.800211,1186.338076,1293.059006
AT2G39950,658.167407,637.9276232,813.1708941
AT2G39960,2400.124256,2335.926999,2542.136413
AT2G39970,2258.250244,2564.902497,2358.391067
AT2G39980,139.7405678,109.3051762,91.87267314
AT2G39975,0,0,0
